ENSG00000215458.4	AATBC
ENSG00000085563.10	ABCB1
ENSG00000005471.11	ABCB4
ENSG00000011198.3	ABHD5
ENSG00000159640.10	ACE
ENSG00000139567.8	ACVRL1
ENSG00000042980.8	ADAM28
ENSG00000233988.1	ADAM6
ENSG00000134028.10	ADAMDEC1
ENSG00000182885.12	ADGRG3
ENSG00000144218.14	AFF3
ENSG00000241978.5	AKAP2
ENSG00000128918.10	ALDH1A2
ENSG00000138639.13	ARHGAP24
ENSG00000158321.11	AUTS2
ENSG00000153064.7	BANK1
ENSG00000119866.16	BCL11A
ENSG00000136573.8	BLK
ENSG00000095585.12	BLNK
ENSG00000113303.7	BTNL8
ENSG00000134830.3	C5AR2
ENSG00000183813.6	CCR4
ENSG00000121797.9	CCRL2
ENSG00000177455.7	CD19
ENSG00000158473.6	CD1D
ENSG00000091972.14	CD200
ENSG00000174807.3	CD248
ENSG00000135218.13	CD36
ENSG00000110448.6	CD5
ENSG00000137101.8	CD72
ENSG00000114013.11	CD86
ENSG00000153563.11	CD8A
ENSG00000172116.17	CD8B
ENSG00000079385.17	CEACAM1
ENSG00000174007.7	CEP19
ENSG00000243649.4	CFB
ENSG00000114737.11	CISH
ENSG00000111729.8	CLEC4A
ENSG00000155962.8	CLIC2
ENSG00000158270.10	COLEC12
ENSG00000198756.6	COLGALT2
ENSG00000121552.3	CSTA
ENSG00000163599.10	CTLA4
ENSG00000081041.8	CXCL2
ENSG00000163734.4	CXCL3
ENSG00000186529.10	CYP4F3
ENSG00000035664.7	DAPK2
ENSG00000062282.10	DGAT2
ENSG00000147459.13	DOCK5
ENSG00000141096.4	DPEP3
ENSG00000135636.9	DYSF
ENSG00000164330.12	EBF1
ENSG00000143369.10	ECM1
ENSG00000136960.8	ENPP2
ENSG00000163508.8	EOMES
ENSG00000124882.3	EREG
ENSG00000151553.10	FAM160B1
ENSG00000183508.4	FAM46C
ENSG00000117560.6	FASLG
ENSG00000090920.9	FCGBP
ENSG00000162894.7	FCMR
ENSG00000132185.12	FCRLA
ENSG00000189283.5	FHIT
ENSG00000049768.10	FOXP3
ENSG00000171049.8	FPR2
ENSG00000137726.11	FXYD6
ENSG00000157240.2	FZD1
ENSG00000007237.14	GAS7
ENSG00000171766.11	GATM
ENSG00000176928.4	GCNT4
ENSG00000168546.6	GFRA2
ENSG00000175066.11	GK5
ENSG00000186469.4	GNG2
ENSG00000176533.8	GNG7
ENSG00000100077.10	GRK3
ENSG00000164116.12	GUCY1A3
ENSG00000084110.6	HAL
ENSG00000241106.2	HLA-DOB
ENSG00000171476.17	HOPX
ENSG00000164120.9	HPGD
ENSG00000173083.10	HPSE
ENSG00000090339.4	ICAM1
ENSG00000163600.8	ICOS
